신호,count,1d_평균수익,1d_적중률,3d_평균수익,3d_적중률,5d_평균수익,5d_적중률,10d_평균수익,10d_적중률,20d_평균수익,20d_적중률
STRONG_BUY,224,0.12,47.32%,-0.02,44.20%,1.8,60.71%,8.79,92.86%,-,0.00%
BUY,6,2.47,100.00%,2.55,100.00%,2.31,66.67%,9.64,100.00%,-,0.00%
HOLD,36,2.63,94.44%,4.28,91.67%,3.47,72.22%,12.13,94.44%,-,0.00%
SELL,9062,0.44,40.61%,1.34,31.38%,2.17,26.47%,4.2,17.72%,6.95,8.89%
