price_momentum_1d,price_momentum_3d,price_momentum_5d,price_momentum_10d,rsi_value,volume_momentum_1d,volume_momentum_3d,volume_momentum_5d,leader_count,leader_momentum,price_momentum_1d_dir,price_momentum_3d_dir,price_momentum_5d_dir,price_momentum_10d_dir,rsi_value_dir,volume_momentum_1d_dir,volume_momentum_3d_dir,volume_momentum_5d_dir,leader_count_dir,leader_momentum_dir,BUY_hit_rate_1d,BUY_avg_return_1d,BUY_hit_rate_3d,BUY_avg_return_3d,BUY_hit_rate_5d,BUY_avg_return_5d,BUY_hit_rate_10d,BUY_avg_return_10d,BUY_hit_rate_20d,BUY_avg_return_20d,date,strong_buy_count,buy_count
0.2008836852046415,0.0541895883683014,0.7060554293623521,0.010377850229266414,0.02849344683543854,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,73.05869485964273,1.0940326457220813,90.37550127597521,3.1010319330975387,98.28654757564709,4.878436746206573,89.24535180459351,6.256916695342355,0.0,0.0,2025-06-25,0,0
0.1400768496852261,0.06475103391125477,0.7337673177954401,0.026201023592342065,0.035203775015736995,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,72.26250906453953,1.0363475452123603,89.34010152284264,2.983560359504449,98.25960841189267,4.767410458024927,89.6301667875272,6.258792482192338,0.0,0.0,2025-06-25,0,0
0.032237610630564205,0.10427928398810414,0.7982649327654016,0.03731833124624132,0.027899841369688583,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,71.15592365862442,0.9934287216131198,88.83687432481095,2.839868138326212,98.23550594166367,4.548510309237284,89.88116672668347,6.053461975825264,0.0,0.0,2025-06-25,0,0
0.10607833258953554,0.07635662920939042,0.7303334051011616,0.08460492194383477,0.002626711156077838,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,70.13480815762185,0.956962161304949,87.59073625993778,2.757039171150029,97.54580020739716,4.394269022683991,90.07950224680262,6.11304746849181,0.0,0.0,2025-06-25,0,0
0.021464497210740598,0.27643604480049716,0.5768793022841536,0.019233834890611597,0.1059863208139969,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,73.59353023909986,1.0872761719147985,92.33473980309424,3.00773204772158,96.69479606188467,4.8090766721884535,87.37693389592124,6.133522329463122,0.0,0.0,2025-06-25,0,0
0.22035390813405256,0.04871197987896234,0.605505550663211,0.1006408602717963,0.024787701051977754,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,70.61197041022193,0.9678880782446408,87.72696704774714,2.80789617888688,96.63752521856085,4.504872151650052,89.87895090786819,6.317601271841758,0.0,0.0,2025-06-25,0,0
0.019822458945066256,0.3678556745367456,0.522177456098142,0.05398757523010249,0.036156835189943545,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,72.59233690024163,1.0594271165747282,92.99275112185019,3.001005306157332,96.5826717293752,4.724191740788057,87.91853641698309,6.202636625326902,0.0,0.0,2025-06-25,0,0
0.03711858998296903,0.11061756499940528,0.6288051280571743,0.08150881629138666,0.1419499006690648,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,72.03823830658928,0.9906370780911352,88.46022533287811,2.7315510168475305,96.27859337657904,4.3795108903786515,89.00648685558211,6.081935476524753,0.0,0.0,2025-06-25,0,0
0.12595099235040647,0.025278569071142124,0.6313730512250878,0.17193518083339415,0.045462206519969336,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,68.06914546640574,0.8626463900974962,85.32289628180038,2.6042257145631202,95.7273320287019,4.187210862825651,90.67188519243314,6.2741322697888435,0.0,0.0,2025-06-25,0,0
0.2023908156731042,0.17863962403748113,0.5038045817865886,0.04162112174964568,0.07354385675318027,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,74.48876969493799,1.1246436254910124,91.28394233992626,3.1114123509090232,95.64197116996313,4.749239880689107,87.29466979550787,6.17787783383993,0.0,0.0,2025-06-25,0,0
0.06880546436523441,0.11112568607843291,0.5678462509293676,0.09477695149576817,0.15744564713119713,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,71.97197197197197,0.9852570216593619,88.22155488822155,2.8087366644574736,95.42876209542877,4.476951749533736,88.95562228895562,6.249632332964492,0.0,0.0,2025-06-25,0,0
0.17208736360281385,0.062183727515480396,0.5653494365079157,0.04773115400794485,0.15264831836584514,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,74.61825585341025,1.099051793831059,89.03970139124533,3.00203647188397,95.38513742789277,4.759938968824137,87.44485917882592,6.270243946849838,0.0,0.0,2025-06-25,0,0
0.08690773241302452,0.19300640365769584,0.5214582752434643,0.05961484919116832,0.13901273949464688,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,74.00734067400734,1.073854571187572,90.29029029029029,2.993369848680546,95.22856189522855,4.68157770919869,87.85452118785452,6.190992176818852,0.0,0.0,2025-06-25,0,0
0.0007417346977683014,0.3338671872623317,0.49190199316286953,0.11981708259375734,0.053672002283273255,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0,0,70.83197389885808,0.9639256562400178,90.44045676998368,2.7500305059411145,95.13866231647634,4.424955786960853,88.74388254486134,6.137338985485331,0.0,0.0,2025-06-25,0,0
