target_type,target_id,weights,signal,count,avg_5d_momentum,hit_rate
THEME,64,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",HOLD,44,0.3628907505852241,45.45454545454545
INDUSTRY,80,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",BUY,7,7.835261534765871,100.0
INDUSTRY,80,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",HOLD,37,0.47638020990570845,48.64864864864865
INDUSTRY,81,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",BUY,17,8.180116214966311,100.0
INDUSTRY,81,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",HOLD,27,-0.12376201646935021,44.44444444444444
INDUSTRY,82,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",BUY,2,6.178619242882332,100.0
INDUSTRY,82,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",HOLD,42,0.8827009480442595,59.523809523809526
INDUSTRY,83,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",BUY,5,6.026467399541868,100.0
INDUSTRY,83,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",HOLD,39,1.037292963983147,61.53846153846154
INDUSTRY,84,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",BUY,7,6.2573709414437095,100.0
INDUSTRY,84,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",HOLD,37,0.8091154100052056,59.45945945945946
INDUSTRY,85,"{'price_momentum_3d': 0.2, 'price_momentum_5d': 0.4, 'price_momentum_10d': 0.3, 'rsi_value': 0.1}",BUY,1,5.25260752248764,100.0
