date,STRONG_BUY_count_5d,STRONG_BUY_hit_rate_5d,STRONG_BUY_avg_return_5d,STRONG_BUY_count_10d,STRONG_BUY_hit_rate_10d,STRONG_BUY_avg_return_10d,STRONG_BUY_count_20d,STRONG_BUY_hit_rate_20d,STRONG_BUY_avg_return_20d,BUY_count_5d,BUY_hit_rate_5d,BUY_avg_return_5d,BUY_count_10d,BUY_hit_rate_10d,BUY_avg_return_10d,BUY_count_20d,BUY_hit_rate_20d,BUY_avg_return_20d,HOLD_count_5d,HOLD_hit_rate_5d,HOLD_avg_return_5d,HOLD_count_10d,HOLD_hit_rate_10d,HOLD_avg_return_10d,HOLD_count_20d,HOLD_hit_rate_20d,HOLD_avg_return_20d,SELL_count_5d,SELL_hit_rate_5d,SELL_avg_return_5d,SELL_count_10d,SELL_hit_rate_10d,SELL_avg_return_10d,SELL_count_20d,SELL_hit_rate_20d,SELL_avg_return_20d,idx_momentum_3d,idx_momentum_5d,idx_momentum_10d
2025-06-24,3,100.0,32.60460986126201,3,100.0,44.54693977075539,3,0.0,,2,100.0,20.780946342318696,2,100.0,34.284247360762286,2,0.0,,13,100.0,12.650712415206955,13,100.0,18.12798512109912,13,0.0,,194,16.49484536082474,2.951925206661223,194,17.525773195876287,4.19722627629144,194,0.0,,,,
2025-06-23,4,100.0,25.56995581439923,4,100.0,41.66094934535155,4,0.0,,2,100.0,13.539896437141952,2,100.0,33.105439683463544,2,0.0,,14,100.0,8.271854014279707,14,100.0,14.052153567472406,14,0.0,,192,40.10416666666667,0.8016622189403817,192,32.29166666666667,2.4851818728597963,192,0.0,,,,
2025-06-20,4,100.0,25.897233777159713,4,100.0,48.111640039012116,4,0.0,,2,100.0,15.657607053684519,2,100.0,22.756789255261502,2,0.0,,26,100.0,8.855244482638176,26,100.0,16.825609465139248,26,0.0,,180,15.555555555555555,2.2194437289546682,180,13.88888888888889,4.459190628184032,180,0.0,,2.424838152052322,4.395050127477873,7.460393662986076
2025-06-19,4,100.0,20.02830287439899,4,100.0,43.47676283689361,4,0.0,,4,100.0,11.181983668750267,4,100.0,28.135546619159534,4,0.0,,33,100.0,6.698359935179489,33,100.0,16.341842002040856,33,0.0,,171,60.81871345029239,-0.6102836566232994,171,14.619883040935672,4.176567885449285,171,0.0,,1.0547535175418954,1.9763495580524815,7.467049703339046
2025-06-18,1,100.0,19.447351353648457,1,100.0,60.69281878406323,1,0.0,,6,100.0,13.50416310828848,6,100.0,26.937408132937716,6,0.0,,20,100.0,7.012544841341388,20,100.0,20.252507003813157,20,0.0,,185,57.2972972972973,-0.21428050407625884,185,8.64864864864865,6.785181859952735,185,0.0,,2.6797990755263346,2.241111233419568,10.123121042471773
2025-06-17,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,212,40.56603773584906,1.63750848426942,212,7.547169811320755,8.451356477563454,212,0.0,,1.0366331852754929,2.731688632762852,9.36474809743224
2025-06-16,1,100.0,27.137404919737552,1,100.0,51.76187273522479,1,0.0,,5,100.0,17.06235915215484,5,100.0,24.397431756187046,5,0.0,,19,100.0,9.582205393938024,19,100.0,18.126712391812294,19,0.0,,187,38.50267379679144,0.9888837855096974,187,9.62566844919786,6.424110681806562,187,0.0,,1.362898343332053,3.182679277392775,8.307604093154541
2025-06-13,1,100.0,35.98393786927014,1,100.0,43.772987100579485,1,0.0,,2,100.0,18.366074335072646,2,100.0,26.80357250755896,2,0.0,,16,100.0,12.717707112490318,16,100.0,19.16638761832949,16,0.0,,193,23.83419689119171,2.024540029670008,193,5.181347150259067,6.81204718920697,193,0.0,,0.7928687083239128,2.936292028946852,8.406643821508153
2025-06-12,1,100.0,34.11259073046509,1,100.0,41.732254559577676,1,0.0,,2,100.0,21.711864117062174,2,100.0,30.489042663744904,2,0.0,,12,100.0,15.079026997342083,12,100.0,25.161605008861653,12,0.0,,197,3.0456852791878175,5.078548303689852,197,2.030456852791878,9.591054073776089,197,0.0,,2.2501812120724107,5.384287797202303,10.723792478443217
2025-06-11,3,100.0,32.455674455267456,3,100.0,42.93933596285689,3,0.0,,4,100.0,20.555674230849966,4,100.0,28.65734899778678,4,0.0,,29,100.0,14.821155668048148,29,100.0,18.523591505475903,29,0.0,,176,2.840909090909091,5.921382171909851,176,2.272727272727273,7.728160915164619,176,0.0,,3.3779626962536113,7.70923722753496,9.931931629102998
2025-06-10,1,100.0,53.253922522012154,1,100.0,60.201816677113776,1,0.0,,2,100.0,28.14481413918395,2,100.0,31.76242944268103,2,0.0,,14,100.0,16.753170662281274,14,100.0,19.947901476732365,14,0.0,,195,6.153846153846154,5.465037447729118,195,1.5384615384615385,8.647163378584423,195,0.0,,3.645464913167107,6.4566829893945465,10.792835125323563
2025-06-09,1,100.0,57.269991138413864,1,100.0,65.12907432161738,1,0.0,,0,-,-,0,-,-,0,-,-,4,100.0,20.139439984670126,4,100.0,27.276878688826653,4,0.0,,207,4.830917874396135,5.15692927828376,207,3.3816425120772946,8.731333544103089,207,0.0,,5.809623671252373,4.966846036226769,10.105371924724427
2025-06-05,1,100.0,51.75220923111847,1,100.0,49.10470258447479,1,0.0,,0,-,-,0,-,-,0,-,-,1,100.0,22.7175944916143,1,100.0,29.771538845970035,1,0.0,,210,3.8095238095238098,4.480426093189609,210,4.285714285714286,5.912451435155124,210,0.0,,4.239955220616309,5.314308184933436,7.102049832798851
2025-06-04,1,100.0,35.98699421507043,1,100.0,30.564672543301462,1,0.0,,0,-,-,0,-,-,0,-,-,6,100.0,15.703716288376318,6,100.0,20.973666284880657,6,0.0,,205,5.853658536585367,4.101915158864092,205,4.878048780487805,5.235015588387506,205,0.0,,1.8451540813926304,5.066699023972232,6.4970405104158635
2025-06-02,2,100.0,16.229068009668488,2,100.0,22.575018938546577,2,0.0,,1,100.0,11.953431517631508,1,100.0,12.833298418312001,1,0.0,,30,100.0,5.559763943849616,30,96.66666666666667,7.970746458952607,30,0.0,,179,24.581005586592177,1.3076365006945139,179,15.64245810055866,3.086026380070616,179,0.0,,1.0793401119787216,2.063606111027072,3.67017231180522
2025-05-30,4,100.0,12.93962284077262,4,100.0,15.678820212985494,4,0.0,,15,100.0,8.230172120594432,15,93.33333333333333,9.619712971046658,15,0.0,,64,100.0,4.666308625689336,64,95.3125,5.198382122797099,64,0.0,,129,19.379844961240313,1.2839424180917143,129,52.71317829457365,-0.06865314731082969,129,0.0,,2.292186469084889,4.0731610399330265,2.6952228317351112
2025-05-29,5,100.0,14.28642190469902,5,100.0,16.709711154145065,5,0.0,,7,100.0,10.751549915582997,7,100.0,12.014146978517598,7,0.0,,41,100.0,6.244332707337662,41,87.8048780487805,5.716563817657719,41,0.0,,159,13.836477987421384,2.058859247680945,159,45.911949685534594,0.580256553914125,159,0.0,,2.883073665103608,4.895379905693464,3.7873470259712327
2025-05-28,6,100.0,10.37008804635638,6,100.0,13.15157661009538,6,0.0,,20,100.0,6.115592532087696,20,85.0,5.110574371360692,20,0.0,,123,86.1788617886179,1.67102468066432,123,52.84552845528455,0.6306163797931569,123,0.0,,63,95.23809523809523,-1.529136131836419,63,84.12698412698413,-2.970914117818911,63,0.0,,3.011469509160558,1.697529688678312,1.1202126813528945
2025-05-27,4,100.0,12.675457538760714,4,100.0,17.992314684837496,4,0.0,,20,100.0,8.2132086272177,20,100.0,11.259625153864182,20,0.0,,66,98.48484848484848,2.8669313518868047,66,86.36363636363636,2.775927784027492,66,0.0,,122,75.40983606557377,-1.2148486583179439,122,85.24590163934425,-3.382929154437878,122,0.0,,1.6790879333145492,1.3613652087016481,1.104116668327948
2025-05-26,2,100.0,16.349089770214363,2,100.0,27.94607293021093,2,0.0,,16,100.0,9.477738315672898,16,100.0,12.908629703752712,16,0.0,,62,100.0,4.249252399438974,62,96.7741935483871,4.2923154735983315,62,0.0,,132,51.515151515151516,-0.36531409163886347,132,84.0909090909091,-2.9452602276723248,132,0.0,,0.7167940036106435,1.574083321169839,1.4217609585284618
2025-05-23,1,100.0,12.116788321167892,1,100.0,42.22222222222223,1,0.0,,11,100.0,8.503258668242898,11,100.0,11.83182078216392,11,0.0,,45,95.55555555555556,3.1150464316027064,45,93.33333333333333,5.257765726349294,45,0.0,,155,83.87096774193549,-2.2634074633621153,155,75.48387096774194,-1.767203396628627,155,0.0,,-0.3732031670382052,-1.3240091820303168,0.5750270635207055
2025-05-22,3,100.0,15.449841833325948,3,100.0,24.047786152768413,3,0.0,,6,100.0,9.250972638975789,6,100.0,11.867785666653134,6,0.0,,19,94.73684210526315,3.5245727108897085,19,100.0,7.91538804977693,19,0.0,,184,79.34782608695652,-2.1493611978447147,184,66.30434782608695,-1.2610223745674596,184,0.0,,-0.37450737875563966,-1.056321909237956,0.5501108750600947
2025-05-21,1,100.0,18.373983739837406,1,100.0,34.56561922365986,1,0.0,,1,100.0,7.433537802962165,1,100.0,14.236566657205273,1,0.0,,48,100.0,3.12114325559914,48,100.0,6.754051763940879,48,0.0,,162,85.18518518518519,-2.4549914861367617,162,50.617283950617285,-0.5335156990236578,162,0.0,,-0.04910787362907287,-0.5676804629303644,2.011811329551616
